,SEQNOS,TRAIN_NAME_NUMBER,RAILROAD_NAME,TRAIN_TYPE,TRACK_SPEED,TRAIN_SPEED,TRAIN_DIRECTION,NUMBER_LOCOMOTIVES,NUMBER_CARS,NUMBER_DERAILED,NON_COMPLIANCE_WITH_HAZMAT
175,1269694,606,LOS ANGELES CITY METRO,PASSENGER,,,,,3.0,,N
176,1269700,NS9772,NORFOLK SOUTHERN,LOCOMOTIVE,,,,1.0,0.0,0.0,U
177,1269718,BLF70727,VIRGIN TRAINS,PASSENGER,79.0,,N,2.0,4.0,,U
178,1269724,314.26,NORFOLK SOUTHERN RAILROAD,FREIGHT,,,N,3.0,155.0,,U
179,1269725,ZWSPPHX927,BNSF RAILWAY,FREIGHT,,,W,4.0,52.0,,U
180,1269728,354 OF THE 27TH,AMTRAK,PASSENGER,,,E,2.0,6.0,,U
181,1269731,X12,NJ TRANSIT RAIL OPERATIONS,COMMUTER,,,,,,,U
182,1269735,56KC215,NORFOLK SOUTHERN RAILROAD,FREIGHT,60.0,7.0,E,3.0,85.0,5.0,U
183,1269745,2916,HERZOG TRANSIT SERVICES,PASSENGER,,,W,,,,U
184,1269747,2916,HERZOG TRANSIT SERVICES,PASSENGER,,,W,1.0,3.0,0.0,U
185,1269753,2916,HERZOG TRANSIT SERVICES,PASSENGER,,,W,,,,U
186,1269758,,UNION PACIFIC RAILROAD,UNKNOWN,,,,,,,U
187,1269784,10928,FLORIDA EAST COAST RR,FREIGHT,60.0,42.0,S,2.0,121.0,0.0,U
188,1269801,RBOX31726,UNION PACIFIC RAILROAD,RAIL CAR,,,,,1.0,1.0,U
189,1269801,UP1479,UNION PACIFIC RAILROAD,LOCOMOTIVE,,,,1.0,,1.0,U
190,1269809,UNKNOWN,UNKNOWN,LOCOMOTIVE,,,,1.0,,,U
191,1269819,LIMX443,CSX RAILROAD,OTHER,,,,,,,U
192,1269826,UNKNOWN,NYC TRANSIT (SUBWAY),SUBWAY,,,,,,,U
193,1269827,2153,METRA,PASSENGER,,,W,1.0,,,U
194,1269831,MPWWC OF THE 28TH,UNION PACIFIC,FREIGHT,,,,4.0,82.0,,U
195,1269836,SLBTLPC127,BNSF RAILWAY,FREIGHT,,,E,5.0,96.0,,U
196,1269864,NO TRAIN INVOLVED,UNION PACIFIC RAILROAD,OTHER,,,,,,,U
197,1269884,V83V729,NORFOLK SOUTHERN RAILROAD,FREIGHT,,,,2.0,11.0,,N
198,1269922,549,AMTRAK,PASSENGER,,,S,1.0,5.0,,U
199,1269924,UMQRKCM 1-28,BNSF RAILWAY,FREIGHT,,,E,2.0,28.0,2.0,N
200,1269926,309A,NYC TRANSIT (SUBWAY),SUBWAY,25.0,25.0,S,,10.0,,U
201,1269927,YSL53 OF THE 29TH,UNION PACIFIC RAILROAD,FREIGHT,,,,,,5.0,U
202,1269963,,CSX RAILROAD,OTHER,,,,,,,U
203,1270000,CSXT 4582,CSX RAILROAD,LOCOMOTIVE,,,,,,,N
204,1270001,PHL61,PACIFIC HARBOR LINE,LOCOMOTIVE,,,,,,,U
205,1270001,UP7936,UNION PACIFIC RAILROAD,LOCOMOTIVE,,,,,,,U
206,1270005,431,KEOLIS COMMUTER SERVICES,COMMUTER,,,W,1.0,5.0,,U
207,1270011,NONE,LONG ISLAND RAILROAD,OTHER,,10.0,,4.0,0.0,1.0,N
208,1270013,P84031,MARC,PASSENGER,,,,,,,U
209,1270015,5308,LONG ISLAND RAILROAD,COMMUTER,,,E,1.0,8.0,,U
210,1270023,Q02231,MAIN LINE,FREIGHT,,,E,2.0,14.0,0.0,U
211,1270054,GACX55937,NORFOLK SOUTHERN,RAIL CAR,,,,,1.0,0.0,U
212,1270064,,UNION PACIFIC RAILROAD,OTHER,,,,,,,U
213,1270092,1078 OF THE 31ST,AMTRAK,PASSENGER,,,W,1.0,8.0,,U
214,1270094,134-31,NORFOLK SOUTHERN,FREIGHT,,,S,7.0,89.0,,N
215,1270096,P05231,AMTRACK,PASSENGER,,,N,,,,U
216,1270104,CSXT3216,CSX RAILROAD,LOCOMOTIVE,,,,,,,U
217,1270110,GATX221130,CSX,FREIGHT,,,,,,,U
218,1270123,74,AMTRAK,PASSENGER,,,E,1.0,4.0,,U
219,1270125,CDKMPAP006,BNSF RAILWAY,FREIGHT,,,E,3.0,120.0,10.0,U
220,1270137,UTIONSB002,BNSF RAILWAY,FREIGHT,,,E,2.0,111.0,,N
221,1270145,STLX5296,NORFOLK SOUTHERN RAILROAD,RAIL CAR,,,,,1.0,1.0,U
222,1270151,Q206-01,LOUISVILLE & INDIAN RR,FREIGHT,49.0,44.0,N,3.0,135.0,,U
223,1270155,YOG31R OF THE 01,UNION PACIFIC RAILROAD,FREIGHT,,,,,11.0,,U
224,1270157,OXAX23166,CSX RAILROAD,RAIL CAR,,,,,,,U
225,1270166,UNKNOWN,CLENA HARBORS,RAIL CAR,,,,,,,U
226,1270197,MNPFW OF THE 31ST,UNION PACIFIC RAILROAD,FREIGHT,,,,,257.0,,U
227,1270200,9412000,CSX RAILROAD,OTHER,,,,,,,U
228,1270202,Q2069-01,CSX,FREIGHT,49.0,44.0,N,3.0,135.0,,U
229,1270207,Q63102,CSX RAILROAD,FREIGHT,,,W,2.0,73.0,,U
230,1270212,413/96003,FLORIDA EAST COAST RAILROAD,FREIGHT,60.0,40.0,N,3.0,2.0,,U
231,1270213,170,AMTRAK,COMMUTER,,44.0,N,1.0,8.0,,U
232,1270216,NOT TRAIN RELATED,,UNKNOWN,,,,,,,U
233,1270219,NOT TRAIN RELATED,,UNKNOWN,,,,,,,U
234,1270233,NO TRAIN INVOLVED,NORFOLK SOUTHERN RAILROAD,OTHER,,,,,,,U
235,1270239,NO TRAIN INVOLVED,CSX RAILROAD,OTHER,,,,,,,U
236,1270259,GATX90875,CSX RAILROAD,RAIL CAR,,,,,,,U
237,1270265,NO TRAIN INVOLVED,,OTHER,,,,,,,U
238,1270292,P89103,MARC,COMMUTER,,,W,,,,U
239,1270298,NO TRAIN INVOLVED,GEORGIA CENTRAL RAILWAY,OTHER,,,,,,,U
240,1270307,716 FEB 3,AMTRAK,PASSENGER,79.0,51.0,E,1.0,5.0,0.0,U
241,1270312,RRVW2005,RRVW,FREIGHT,,,,1.0,6.0,3.0,N
242,1270319,L5167103,CANADIAN NATIONAL RAILWAY,FREIGHT,40.0,25.0,N,2.0,56.0,,U
243,1270320,G09G803,NORFOLK SOUTHERN RAILROAD,FREIGHT,,,S,1.0,30.0,,U
244,1270323,M6610 OF THE 4TH,METRA RAILROAD,PASSENGER,,,W,2.0,,1.0,U
245,1270326,P87204,MARYLAND AREA REGIONAL COMMUTER TRAIN,COMMUTER,,,,,,,U
246,1270332,UFEPPEM005T,BNSF RAILWAY,FREIGHT,,,W,,,,U
247,1270333,21 OF THE 3RD,AMTRAK,PASSENGER,60.0,,S,1.0,6.0,,U
248,1270360,NO TRAIN INVOLVED,GEORGIA CENTRAL RAILWAY,OTHER,,,,,,,U
249,1270378,97 OF 3RD OF FEBRUARY,CSX,PASSENGER,,,S,,,,U
250,1270381,P09704,AMTRAK,PASSENGER,,,,,,0.0,U
251,1270409,ZSSECHC904,BNSF RAILWAY,FREIGHT,,,E,4.0,65.0,,U
252,1270413,U02-04,NORFOLK SOUTHERN RAILROAD,FREIGHT,,,W,4.0,110.0,4.0,U
