,SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
1645,1269156,GAS,000000-00-0,,26000.0,LITER(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1646,1269157,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0.0,UNKNOWN AMOUNT
1647,1269158,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1648,1269160,ODS,000000-00-0,,200.0,GALLON(S),OIL: DIESEL,NO,,
1649,1269162,ODS,000000-00-0,,30.0,GALLON(S),OIL: DIESEL,YES,0.0,UNKNOWN AMOUNT
1650,1269164,ODS,000000-00-0,,30.0,GALLON(S),OIL: DIESEL,NO,,
1651,1269165,ONG,000000-00-0,,0.0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1652,1269166,OHY,000000-00-0,,1.0,LITER(S),HYDRAULIC OIL,YES,1.0,LITER(S)
1653,1269167,OTH,000000-00-0,,1.0,QUART(S),GEAR OIL,YES,0.0,UNKNOWN AMOUNT
1654,1269168,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,CLEANING WATER FROM PLANT PROCESS,NO,,
1655,1269170,ONG,000000-00-0,,33.0,MMCF,NATURAL GAS,NO,,
1656,1269171,NCC,000000-00-0,,0.5,BARREL(S),BRINE WATER,NO,,
1657,1269171,OIL,000000-00-0,,0.5,BARREL(S),OIL: CRUDE,NO,,
1658,1269172,GAS,000000-00-0,,0.0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0.0,UNKNOWN AMOUNT
1659,1269172,OMT,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0.0,UNKNOWN AMOUNT
1660,1269172,RFG,000000-00-0,,0.0,UNKNOWN AMOUNT,REFRIGERANT GASES,YES,0.0,UNKNOWN AMOUNT
1661,1269173,NCC,000000-00-0,,3.0,GALLON(S),TOLUENE DIISOCYNATE,NO,,
1662,1269175,NCC,000000-00-0,,7.0,BARREL(S),SALT WATER,NO,,
1663,1269178,OUN,000000-00-0,,2.0,PINT(S),UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1664,1269180,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,VARIOUS PAINT SUPPLIES,YES,0.0,UNKNOWN AMOUNT
1665,1269182,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
1666,1269185,NCC,000000-00-0,,3.0,CUP(S),WATER,YES,3.0,CUP(S)
1667,1269185,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1668,1269186,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1669,1269188,CMO,000000-00-0,,0.0,UNKNOWN AMOUNT,CARBON MONOXIDE,UNKNOWN,0.0,UNKNOWN AMOUNT
1670,1269188,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,MOLD,UNKNOWN,0.0,UNKNOWN AMOUNT
1671,1269189,UNK,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1672,1269190,OVG,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, EDIBLE: VEGETABLE",YES,0.0,UNKNOWN AMOUNT
1673,1269191,DZB,000000-00-0,,10.0,BARREL(S),DRILLING BRINE (WITH ZINC SALTS),NO,,
1674,1269191,OIL,000000-00-0,,0.25,BARREL(S),OIL: CRUDE,NO,,
1675,1269192,ODS,000000-00-0,,40.0,GALLON(S),OIL: DIESEL,NO,,
1676,1269193,OLB,000000-00-0,,2.0,CUP(S), LUBE OIL WATER MIXTURE,YES,2.0,CUP(S)
1677,1269194,ODS,000000-00-0,,51.3,BARREL(S),OIL: DIESEL,NO,,
1678,1269195,RFG,000000-00-0,,0.0,UNKNOWN AMOUNT,REFRIGERANT GASES,NO,,
1679,1269196,OHY,000000-00-0,,0.5,CUP(S),HYDRAULIC OIL,YES,0.5,CUP(S)
1680,1269197,NCC,000000-00-0,,10.0,BARREL(S),SALT WATER,YES,10.0,BARREL(S)
1681,1269197,OIL,000000-00-0,,1.0,BARREL(S),OIL: CRUDE,YES,1.0,BARREL(S)
1682,1269199,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1683,1269200,ONG,000000-00-0,,0.0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1684,1269201,EDC,000000-00-0,,0.0,UNKNOWN AMOUNT,ETHYLENE DICHLORIDE,NO,,
1685,1269201,VCM,000075-01-4,,0.0,UNKNOWN AMOUNT,VINYL CHLORIDE,NO,,
1686,1269203,ODS,000000-00-0,,0.0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0.0,UNKNOWN AMOUNT
1687,1269203,OMT,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0.0,UNKNOWN AMOUNT
1688,1269204,RFG,000000-00-0,,0.0,UNKNOWN AMOUNT,REFRIGERANT GASES,NO,,
1689,1269205,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1690,1269206,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1691,1269207,OHY,000000-00-0,,15.0,GALLON(S),HYDRAULIC OIL,YES,5.0,GALLON(S)
1692,1269209,EGL,000107-21-1,,0.0,UNKNOWN AMOUNT,ETHYLENE GLYCOL,YES,0.0,UNKNOWN AMOUNT
1693,1269209,OMT,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0.0,UNKNOWN AMOUNT
1694,1269210,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0.0,UNKNOWN AMOUNT
1695,1269211,OHY,000000-00-0,,1.0,GALLON(S),HYDRAULIC OIL,YES,1.0,GALLON(S)
1696,1269212,OMT,000000-00-0,,0.0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0.0,UNKNOWN AMOUNT
1697,1269212,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,TRANSMISSION OIL,YES,0.0,UNKNOWN AMOUNT
1698,1269213,DRM,000000-00-0,,1.0,BARREL(S),DRILLING MUD,NO,,
1699,1269213,NCC,000000-00-0,,3.0,BARREL(S),SALT WATER,NO,,
1700,1269213,OIL,000000-00-0,,0.5,BARREL(S),OIL: CRUDE,NO,,
1701,1269214,NCC,000000-00-0,,0.0,UNKNOWN AMOUNT,SEWAGE,UNKNOWN,0.0,UNKNOWN AMOUNT
1702,1269215,OUN,000000-00-0,,0.0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
1703,1269216,AMA,007664-41-7,,30.0,POUND(S),"AMMONIA, VAPOR",NO,,
1704,1269217,OTH,000000-00-0,,0.0,UNKNOWN AMOUNT,VARIOUS OILS,YES,0.0,UNKNOWN AMOUNT
1705,1269218,OTH,000000-00-0,,3.0,BARREL(S),OIL BASED DRILLING MUD,YES,10.0,GALLON(S)
